Feature,Importance
"cat__Lat Long_34.052917, -118.255178",0.00017607114964385298
"cat__Lat Long_34.122501, -117.320138",0.0001757466745582067
"cat__Lat Long_41.759864, -122.379175",0.0001750458672320015
"cat__Lat Long_38.384648, -121.578701",0.00017333916003280377
"cat__Lat Long_37.974498, -121.319568",0.00017319062468441136
"cat__Lat Long_34.432843, -118.730106",0.00017263260195986258
"cat__Lat Long_38.608405, -121.449942",0.00017175708092720594
cat__City_Santa Ana,0.00016668910608897295
cat__City_Oceanside,0.00016638488289020783
cat__City_Carlsbad,0.00016540054309915377
"cat__Lat Long_37.454924, -122.203168",0.00016485300494482603
cat__City_Rodeo,0.00016385074871873555
cat__City_San Luis Obispo,0.00016355202647890853
"cat__Lat Long_34.559882, -115.637164",0.00016193584168007626
cat__City_Hydesville,0.00016102963251679147
cat__City_Burbank,0.00015990840440855564
"cat__Lat Long_34.238802, -118.482296",0.00015982376228749272
cat__City_Running Springs,0.00015976002456904296
"cat__Lat Long_33.714829, -117.872941",0.0001596854255394766
cat__City_Brea,0.00015912364365867635
cat__City_Delhi,0.00015662059034414716
cat__City_Lakewood,0.00015556212414802184
"cat__Lat Long_37.680844, -122.48131",0.00015303816261912913
"cat__Lat Long_39.082568, -121.55325",0.0001528488776371027
"cat__Lat Long_38.581354, -122.296283",0.0001527225595013286
"cat__Lat Long_38.672708, -122.403219",0.0001526474186788087
cat__City_Mckinleyville,0.00015140958536140922
cat__City_Miramonte,0.00015127762152935872
cat__City_Irvine,0.00015070438053139167
cat__City_Vallejo,0.00015055178443955247
"cat__Lat Long_37.669516, -120.626964",0.00015026531701601634
"cat__Lat Long_40.789799, -121.474529",0.00014963517569390795
"cat__Lat Long_34.001617, -118.222274",0.00014834908511266058
"cat__Lat Long_34.076259, -118.310715",0.00014743690041611613
"cat__Lat Long_32.957195, -117.202542",0.00014661227984457922
"cat__Lat Long_34.437945, -119.77191",0.00014617481576908548
cat__City_Tecopa,0.00014613145252038363
"cat__Lat Long_38.734997, -121.463719",0.00014488372135525298
"cat__Lat Long_34.167465, -118.165327",0.00014334383839188466
"cat__Lat Long_34.279221, -119.221437",0.00014287631048183228
"cat__Lat Long_34.005439, -118.477507",0.00014181480713375825
cat__City_La Mesa,0.00014138435136569586
"cat__Lat Long_41.924174, -123.260788",0.00014045772363098215
"cat__Lat Long_36.303666, -119.825657",0.00014040567435036585
cat__City_Beverly Hills,0.00013964629234578763
cat__City_Susanville,0.00013900795622427188
